Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(1, 1, 1, 4)",352,"[1063, 1084, 1384, 1404, 1960, 1981]",6
"(1, 1, 1, 4)",343,"[149, 161, 419, 434, 1058, 1075, 1391, 1413, 2935, 2944, 2956, 2961]",12
"(1, 1, 2, 3)",764,"[390, 634, 1618, 1816, 2069, 3044]",6
"(1, 1, 2, 3)",682,"[383, 639, 643, 648, 1351, 1613, 1809, 2074, 2078, 2083, 2786, 3039]",12
"(1, 1, 2, 3)",521,"[307, 312, 337, 563, 917, 1184, 1880, 2151, 2456, 2461, 3178, 3370]",12
"(1, 1, 2, 3)",517,"[403, 660, 663, 665, 1373, 1628, 1800, 2054, 2057, 2061, 2767, 3018]",12
"(1, 1, 2, 3)",505,"[52, 251, 303, 570, 1235, 1276, 2156, 2238, 2452, 2512, 2864, 3333]",12
"(1, 1, 2, 3)",501,"[31, 726, 1202, 1602, 1636, 1707, 1725, 1746, 1798, 2090, 2490, 2559]",12
"(1, 1, 2, 3)",493,"[15, 282, 598, 697, 713, 753, 1753, 2588, 2681, 2737, 3070, 3349]",12
"(1, 1, 2, 3)",488,"[59, 242, 298, 339, 1240, 1545, 1889, 2245, 2447, 2503, 3093, 3338]",12
"(1, 1, 2, 3)",480,"[89, 247, 256, 566, 973, 1541, 2154, 2187, 2508, 2517, 3091, 3122]",12
"(1, 1, 2, 3)",472,"[109, 227, 234, 587, 995, 1562, 2134, 2178, 2529, 2534, 3076, 3103]",12
"(1, 1, 2, 3)",470,"[118, 578, 1167, 2125, 2180, 3387]",6
"(1, 1, 2, 3)",470,"[412, 656, 1630, 1802, 2052, 3022]",6
"(1, 1, 2, 3)",467,"[178, 709, 952, 1311, 1653, 1690, 1845, 1973, 2013, 2029, 2203, 2585]",12
"(1, 1, 2, 3)",459,"[43, 230, 324, 592, 1250, 1295, 2139, 2258, 2432, 2532, 2842, 3312]",12
"(1, 1, 2, 3)",456,"[96, 561, 1189, 2147, 2194, 3375]",6
"(1, 1, 2, 3)",449,"[24, 262, 618, 675, 733, 770, 1744, 2568, 2662, 2759, 3055, 3364]",12
"(1, 1, 2, 3)",442,"[17, 704, 1224, 1580, 1658, 1695, 1739, 1760, 1776, 2112, 2468, 2581]",12
"(1, 1, 2, 3)",442,"[327, 329, 346, 583, 898, 1163, 1860, 2130, 2435, 2439, 3200, 3385]",12
"(1, 1, 2, 3)",438,"[80, 360, 683, 739, 1097, 1674, 1854, 1964, 2020, 2210, 2988, 3415]",12
"(1, 1, 2, 3)",427,"[73, 171, 358, 692, 718, 748, 2004, 2590, 2829, 2948, 2999, 3143]",12
"(1, 1, 2, 3)",416,"[291, 605, 688, 744, 842, 1669, 1732, 1769, 2119, 2477, 2716, 3413]",12
"(1, 1, 2, 3)",404,"[45, 225, 320, 353, 1252, 1567, 1867, 2267, 2430, 2525, 3081, 3316]",12
"(1, 1, 2, 3)",404,"[269, 627, 668, 765, 861, 1684, 1723, 1789, 2099, 2497, 2697, 3398]",12
